,ticker,date,volume,score,Open,High,Low,Close,Adj Close,Volume,company_name,MA10,MA20,MA50,MA100,macd,signal,rsi
1,AAPL,2018-01-02,682,0.3503759530791789,42.540000915527344,43.07500076293945,42.314998626708984,43.064998626708984,40.83158874511719,102223600.0,APPLE,52.24818286895752,52.221266460418704,52.500326538085936,52.045769901275634,-0.25468027841921526,0.5535266889386541,48.54897670369998
2,AAPL,2018-01-03,662,0.2600564954682779,43.13249969482422,43.63750076293945,42.9900016784668,43.057498931884766,40.82448196411133,118071600.0,APPLE,56.44891624450683,53.963891410827635,53.12364986419678,52.10607822418213,-0.4217871839160594,0.3222793422082913,47.733150890260035
3,AAPL,2018-01-04,588,0.30815085034013606,43.1349983215332,43.36750030517578,43.02000045776367,43.25749969482422,41.014095306396484,89738400.0,APPLE,48.52831630706787,50.3068413734436,52.146679916381835,51.806278247833255,-1.3055666469134763,0.09581592892222202,49.16256266915157
4,AAPL,2018-01-05,814,0.18676019656019655,43.36000061035156,43.842498779296875,43.26250076293945,43.75,41.4810676574707,94640000.0,APPLE,49.5448501586914,54.39070816040039,52.27444332122803,52.44840663909912,0.8681174134554794,0.29317227392816314,48.977137186892236
7,AAPL,2018-01-08,690,0.2388855072463768,43.587501525878906,43.90250015258789,43.48249816894531,43.587501525878906,41.32699203491211,82271200.0,APPLE,53.856517219543456,51.22621669769287,51.29926006317139,52.24472667694092,-1.7904000468523122,-0.1438273964800041,49.60657315349175
8,AAPL,2018-01-09,755,0.2668251655629139,43.63750076293945,43.76499938964844,43.352500915527344,43.58250045776367,41.32225799560547,86336000.0,APPLE,56.42778358459473,52.85969161987305,52.55531669616699,52.22195663452148,0.9166463169930452,0.70944192029055,47.77123111643224
9,AAPL,2018-01-10,716,0.24505572625698324,43.290000915527344,43.57500076293945,43.25,43.5724983215332,41.31277084350586,95839600.0,APPLE,54.35559978485107,54.25775833129883,53.21227317810059,52.90826658248901,0.9296462023837648,1.0435470307379333,48.36611632380163
10,AAPL,2018-01-11,598,0.30470200668896325,43.647499084472656,43.872501373291016,43.622501373291016,43.81999969482422,41.54743957519531,74670800.0,APPLE,57.80435009002686,54.763116645812985,54.07740325927735,52.99596324920654,-0.7963015527765691,1.0821689938343568,48.88313159410883
11,AAPL,2018-01-12,707,0.3082379066478076,44.04499816894531,44.34000015258789,43.912498474121094,44.272499084472656,41.97646713256836,101672400.0,APPLE,53.424149894714354,53.90034160614014,52.639773254394534,53.040533256530765,-1.2991531510373378,0.33838128660558264,48.7518566469334
15,AAPL,2018-01-16,708,0.26692754237288135,44.474998474121094,44.84749984741211,44.03499984741211,44.04750061035156,41.76314163208008,118263600.0,APPLE,54.21346645355224,56.949658203125,54.797293205261234,53.04427989959717,0.5809506068663168,0.5131196541201427,47.32846082616423
16,AAPL,2018-01-17,1087,0.21971379944802208,44.037498474121094,44.8125,43.76750183105469,44.775001525878906,42.45289993286133,137547200.0,APPLE,58.931816482543944,55.852541542053224,54.08724323272705,52.93252157211304,-0.5473579161025199,0.5247553353319753,49.12138578334735
17,AAPL,2018-01-18,990,0.2541739393939394,44.842498779296875,45.025001525878906,44.5625,44.814998626708984,42.49082565307617,124773600.0,APPLE,62.382849311828615,57.24069128036499,54.71049320220947,54.2420015335083,1.9353089499199143,1.3816375711054625,46.49554679710922
18,AAPL,2018-01-19,631,0.2302833597464342,44.65250015258789,44.89500045776367,44.352500915527344,44.6150016784668,42.301212310791016,129700400.0,APPLE,55.450982666015626,56.07338285446167,55.64915649414063,53.67131488800049,-1.046726259626901,0.32426020750922824,48.33673116713565
21,AAPL,2018-01-22,635,0.2361907086614173,44.32500076293945,44.44499969482422,44.150001525878906,44.25,41.955135345458984,108434400.0,APPLE,53.948099517822264,54.75563297271729,55.53164318084717,53.658163185119626,-0.20561311654103065,-0.23581833257307383,47.98732989918212
22,AAPL,2018-01-23,931,0.2670564983888292,44.32500076293945,44.86000061035156,44.20500183105469,44.2599983215332,41.96461486816406,130756400.0,APPLE,56.78581657409668,55.06020793914795,55.50594974517822,53.4942248916626,-0.45923450327804005,-0.2447211974250074,48.51966144541041
23,AAPL,2018-01-24,1029,0.1876449951409135,44.3125,44.32500076293945,43.29999923706055,43.55500030517578,41.29617691040039,204420400.0,APPLE,60.27146682739258,53.77664985656738,56.3242064666748,54.44542158126831,1.020644740211523,0.7050959060833512,48.445944922371524
24,AAPL,2018-01-25,1135,0.26388704845814975,43.627498626708984,43.73749923706055,42.63249969482422,42.77750015258789,40.558998107910156,166116000.0,APPLE,60.048383712768555,56.808258628845216,55.70541656494141,54.088041591644284,0.8001024184192147,1.1611695969128026,46.8290647020589
25,AAPL,2018-01-26,1121,0.38352479928635147,43.0,43.0,42.51499938964844,42.877498626708984,40.653812408447266,156572000.0,APPLE,60.68498363494873,60.478225231170654,56.524033203125,55.387203216552734,0.40793654797425916,1.442654506758841,47.261756612980584
28,AAPL,2018-01-29,1377,0.19947523602033404,42.540000915527344,42.540000915527344,41.76750183105469,41.9900016784668,39.81233596801758,202561600.0,APPLE,52.73385009765625,56.3911169052124,55.699426612854005,54.30302991867065,-3.922160564645047,-1.1260660665371343,49.253642436648555
29,AAPL,2018-01-30,1295,0.22142980694980693,41.38249969482422,41.842498779296875,41.17499923706055,41.74250030517578,39.57767868041992,184192800.0,APPLE,53.937133407592775,57.31105852127075,56.468766593933104,55.63302989959717,-0.5866196129071781,0.26366084503030895,47.9053882299039
30,AAPL,2018-01-31,1135,0.2725261674008811,41.717498779296875,42.11000061035156,41.625,41.85749816894531,39.68671417236328,129915600.0,APPLE,62.559766578674314,57.646808338165286,56.87222332000732,55.24566993713379,0.12845933053106506,0.5729970102309404,46.50411614949894
31,AAPL,2018-02-01,1164,0.15657508591065292,41.79249954223633,42.154998779296875,41.689998626708984,41.94499969482422,39.7696647644043,188923200.0,APPLE,52.83473377227783,55.229550170898435,56.63787670135498,55.59545497894287,-0.5349506531371659,0.13037816816167658,47.31838861142046
32,AAPL,2018-02-02,1379,0.14934706308919507,41.5,41.70000076293945,40.025001525878906,40.125,38.0440673828125,346375200.0,APPLE,60.80978355407715,59.321608257293704,57.949703483581544,56.48957666397095,0.166288353585891,0.516755986468412,45.99724933750554
35,AAPL,2018-02-05,1229,0.24954556550040685,39.775001525878906,40.970001220703125,39.0,39.122501373291016,37.09355926513672,290954000.0,APPLE,60.08266677856445,58.420708656311035,57.95262020111084,56.57320499420166,0.819772975441353,1.0124210166457068,45.53749572120132
36,AAPL,2018-02-06,1084,0.24340267527675277,38.70750045776367,40.93000030517578,38.5,40.75749969482422,38.643760681152344,272975200.0,APPLE,53.93423347473144,56.54679183959961,57.68711681365967,56.53197330474853,-1.838718005903658,-0.23254165638036542,47.651690980636815
